key,pt-br,en
game.canvas_btndisconnect_text_tmp_,Exit,
game.canvas_enemyprofile_name,Rei Azul,
game.canvas_enemyprofile_points,1500,
game.canvas_minimap_markingspanel_markingbutton_1_text_tmp_,>3,
game.canvas_minimap_markingspanel_markingbutton_2_text_tmp_,>4,
game.canvas_minimap_markingspanel_markingbutton_3_text_tmp_,>5,
game.canvas_minimap_markingspanel_markingbutton_4_text_tmp_,>6,
game.canvas_minimap_markingspanel_markingbutton_5_text_tmp_,>7,
game.canvas_minimap_markingspanel_markingbutton_6_text_tmp_,>8,
game.canvas_minimap_markingspanel_markingbutton_7_text_tmp_,A,
game.canvas_minimap_markingspanel_markingbutton_text_tmp_,>2,
game.canvas_minimap_minimapcellprefab_text_tmp_,1,
game.canvas_playerprofile_name,Name,
game.canvas_playerprofile_points,Points,
game.canvas_surrenderpanel_não_text_tmp_,Não,
game.canvas_surrenderpanel_sim_text_tmp_,Sim,
game.canvas_surrenderpanel_text_tmp_,Deseja se render?,
game.canvas_timer_text_tmp_,New Text,
game.canvas_timer_timertext,01:00,
positionparts 1.hud_configshud_bg_audioconfigs_ambience_name,Ambience,
positionparts 1.hud_configshud_bg_audioconfigs_master_name,Master,
positionparts 1.hud_configshud_bg_audioconfigs_music_name,Music,
positionparts 1.hud_configshud_bg_audioconfigs_sfx_name,SFX,
positionparts 1.hud_configshud_bg_audioconfigs_voice_name,Voice,
positionparts 1.hud_configshud_bg_configtabs_audio_text_tmp_,Audio,
positionparts 1.hud_configshud_bg_configtabs_video_text_tmp_,Video,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_name,Anti Aliasing,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_name,FPS Limit,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_label,Option A,
